epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,28.5506,0.26204,1.95748,0.87323,0.40798,0.76534,0.67493,0.61239,0.42973,2.05568,0.93028,6.94e-05,6.94e-05,6.94e-05
97,971.559,0.3426,1.82209,0.88439,0.39585,0.75367,0.69633,0.63163,0.42,2.07727,0.90738,4.96e-05,4.96e-05,4.96e-05
96,42.7647,0.38607,1.89042,1.04049,0.40798,0.76534,0.67493,0.61239,0.42973,2.05568,0.93028,5.95e-05,5.95e-05,5.95e-05
98,987.166,0.24391,1.63141,0.80037,0.36918,0.76761,0.69633,0.63495,0.39666,2.15852,0.88408,3.97e-05,3.97e-05,3.97e-05
97,57.663,0.31246,2.34331,0.88406,0.40798,0.76534,0.67493,0.61239,0.42973,2.05568,0.93028,4.96e-05,4.96e-05,4.96e-05
99,1002.98,0.37347,1.87169,0.98945,0.36918,0.76761,0.69633,0.63495,0.39666,2.15852,0.88408,2.98e-05,2.98e-05,2.98e-05
98,73.3585,0.27772,1.8105,0.95884,0.41425,0.74089,0.69633,0.63495,0.40599,2.07222,0.89395,3.97e-05,3.97e-05,3.97e-05
99,87.5706,0.5498,2.37722,1.33162,0.41425,0.74089,0.69633,0.63495,0.40599,2.07222,0.89395,2.98e-05,2.98e-05,2.98e-05
100,1017.34,0.33985,2.09168,1.04376,0.36918,0.76761,0.69633,0.63495,0.39666,2.15852,0.88408,1.99e-05,1.99e-05,1.99e-05
100,98.5976,0.34375,1.90339,0.97209,0.41425,0.74089,0.69633,0.63495,0.40599,2.07222,0.89395,1.99e-05,1.99e-05,1.99e-05
